State,Country,Refugees
MICHIGAN,BHUTAN,184
OHIO,BURMA,182
WISCONSIN,SOMALIA,181
MINNESOTA,IRAQ,179
KENTUCKY,DEM. REP. CONGO,177
NEW JERSEY,CUBA,172
ILLINOIS,DEM. REP. CONGO,171
VERMONT,BHUTAN,170
CALIFORNIA,AFGHANISTAN,162
SOUTH DAKOTA,BHUTAN,161
MISSOURI,DEM. REP. CONGO,161
KENTUCKY,CUBA,160
NORTH DAKOTA,IRAQ,157
IDAHO,DEM. REP. CONGO,156
FLORIDA,DEM. REP. CONGO,155
COLORADO,DEM. REP. CONGO,151
VIRGINIA,BHUTAN,150
TEXAS,ERITREA,150
MAINE,SOMALIA,148
IDAHO,SOMALIA,146
CONNECTICUT,IRAQ,144
MISSOURI,BHUTAN,137
WASHINGTON,UKRAINE,134
CALIFORNIA,UKRAINE,132
WASHINGTON,DEM. REP. CONGO,131
MARYLAND,BHUTAN,130
NORTH CAROLINA,CUBA,128
UTAH,BURMA,126
MARYLAND,DEM. REP. CONGO,125
INDIANA,IRAQ,125
WASHINGTON,BHUTAN,122
IDAHO,BURMA,122
SOUTH DAKOTA,BURMA,115
CONNECTICUT,SOMALIA,114
IDAHO,BHUTAN,113
MASSACHUSETTS,BURMA,113
MINNESOTA,BHUTAN,111
OHIO,DEM. REP. CONGO,111
NEW HAMPSHIRE,BHUTAN,109
IOWA,BHUTAN,108
NEW HAMPSHIRE,DEM. REP. CONGO,108
UTAH,DEM. REP. CONGO,108
WASHINGTON,IRAN,108
CALIFORNIA,DEM. REP. CONGO,102
MARYLAND,ERITREA,102
OREGON,BHUTAN,98
MISSOURI,CUBA,96
UTAH,BHUTAN,93
TENNESSEE,CUBA,92
FLORIDA,SUDAN,89
NEW YORK,CUBA,88
ARIZONA,ERITREA,88
VIRGINIA,IRAN,87
TEXAS,AFGHANISTAN,83
VIRGINIA,DEM. REP. CONGO,83
GEORGIA,ERITREA,83
OHIO,ERITREA,81
SOUTH DAKOTA,SOMALIA,81
NEW JERSEY,IRAQ,80
NORTH DAKOTA,SOMALIA,80
TENNESSEE,DEM. REP. CONGO,79
COLORADO,ERITREA,79
ARIZONA,CUBA,78
MARYLAND,SUDAN,77
ARIZONA,BHUTAN,76
CONNECTICUT,BURMA,75
GEORGIA,IRAN,75
FLORIDA,SOMALIA,75
IOWA,IRAQ,74
VIRGINIA,SOMALIA,72
LOUISIANA,IRAQ,70
KANSAS,SOMALIA,70
NEW YORK,AFGHANISTAN,69
WASHINGTON,ERITREA,69
ILLINOIS,IRAN,68
KANSAS,IRAQ,68
NORTH CAROLINA,SUDAN,68
PENNSYLVANIA,CUBA,67
NORTH CAROLINA,ERITREA,67
IDAHO,SUDAN,67
OREGON,DEM. REP. CONGO,66
GEORGIA,ETHIOPIA,66
MINNESOTA,ETHIOPIA,66
WASHINGTON,ETHIOPIA,66
GEORGIA,CUBA,64
NEVADA,IRAQ,64
NEW HAMPSHIRE,IRAQ,63
VIRGINIA,CUBA,62
ARIZONA,IRAN,62
ARIZONA,SUDAN,62
MISSOURI,SUDAN,62
NEW YORK,UKRAINE,62
CONNECTICUT,DEM. REP. CONGO,61
TEXAS,SUDAN,61
INDIANA,SOMALIA,58
UTAH,SUDAN,58
NEW YORK,ERITREA,57
NEW YORK,SUDAN,56
CALIFORNIA,BHUTAN,55
WASHINGTON,CUBA,55
PENNSYLVANIA,SUDAN,55
FLORIDA,COLOMBIA,54
LOUISIANA,BURMA,53
CALIFORNIA,PALESTINE,53
ALASKA,SOMALIA,53
ILLINOIS,SUDAN,53
COLORADO,ETHIOPIA,52
NEBRASKA,SOMALIA,52
GEORGIA,AFGHANISTAN,51
GEORGIA,SUDAN,51
OHIO,ETHIOPIA,50
VIRGINIA,SUDAN,50
ARIZONA,AFGHANISTAN,49
VIRGINIA,BURMA,49
CALIFORNIA,ERITREA,49
SOUTH DAKOTA,ERITREA,49
NEVADA,IRAN,49
NEVADA,SOMALIA,48
CALIFORNIA,CUBA,47
NEW MEXICO,IRAQ,47
VERMONT,IRAQ,47
VERMONT,SOMALIA,47
SOUTH CAROLINA,BURMA,46
NEVADA,ERITREA,46
SOUTH DAKOTA,DEM. REP. CONGO,45
PENNSYLVANIA,ERITREA,45
COLORADO,SUDAN,45
WASHINGTON,SUDAN,45
MASSACHUSETTS,SUDAN,44
PENNSYLVANIA,ETHIOPIA,43
SOUTH DAKOTA,IRAQ,43
MICHIGAN,ERITREA,42
ILLINOIS,AFGHANISTAN,41
WISCONSIN,DEM. REP. CONGO,41
OHIO,SUDAN,41
CONNECTICUT,ERITREA,40
TEXAS,ETHIOPIA,40
SOUTH CAROLINA,IRAQ,40
GEORGIA,PAKISTAN,39
NORTH CAROLINA,AFGHANISTAN,38
ILLINOIS,CUBA,38
MARYLAND,ETHIOPIA,38
NORTH CAROLINA,ETHIOPIA,38
NEW YORK,IRAN,37
OREGON,IRAN,37
RHODE ISLAND,IRAQ,37
KANSAS,BHUTAN,36
INDIANA,DEM. REP. CONGO,36
FLORIDA,ERITREA,36
ALABAMA,IRAQ,36
WASHINGTON,MOLDOVA,36
MARYLAND,CUBA,35
CALIFORNIA,MOLDOVA,35
MARYLAND,SOMALIA,35
TENNESSEE,SUDAN,34
KANSAS,DEM. REP. CONGO,33
CALIFORNIA,RUSSIA,33
RHODE ISLAND,SOMALIA,33
MASSACHUSETTS,UKRAINE,33
UTAH,AFGHANISTAN,32
NEVADA,DEM. REP. CONGO,32
ILLINOIS,SOMALIA,32
CALIFORNIA,SYRIA,32
INDIANA,BHUTAN,31
LOUISIANA,DEM. REP. CONGO,31
ILLINOIS,ERITREA,31
MISSOURI,ERITREA,31
VIRGINIA,ERITREA,31
NEW YORK,ETHIOPIA,31
MARYLAND,IRAN,31
NEBRASKA,IRAN,31
WISCONSIN,BHUTAN,30
RHODE ISLAND,BURMA,30
IOWA,ERITREA,30
KANSAS,ERITREA,30
FLORIDA,IRAN,30
KANSAS,CUBA,28
RHODE ISLAND,DEM. REP. CONGO,27
MASSACHUSETTS,ERITREA,27
FLORIDA,ETHIOPIA,27
NEW YORK,RUSSIA,27
MISSOURI,AFGHANISTAN,26
MICHIGAN,CUBA,26
NEW MEXICO,DEM. REP. CONGO,26
UTAH,ERITREA,26
NORTH CAROLINA,IRAN,26
CALIFORNIA,UZBEKISTAN,26
NEW JERSEY,BURMA,25
LOUISIANA,CUBA,25
NEW MEXICO,SOMALIA,25
CALIFORNIA,SUDAN,25
NEW HAMPSHIRE,BURMA,24
VERMONT,BURMA,24
CONNECTICUT,COLOMBIA,24
COLORADO,CUBA,24
ALASKA,DEM. REP. CONGO,24
NORTH DAKOTA,DEM. REP. CONGO,24
IDAHO,IRAN,24
PENNSYLVANIA,NEPAL,24
IOWA,SOMALIA,24
MICHIGAN,SUDAN,24
CALIFORNIA,ETHIOPIA,23
NEVADA,ETHIOPIA,23
OKLAHOMA,IRAQ,23
OHIO,PAKISTAN,23
OREGON,UKRAINE,23
NEW MEXICO,AFGHANISTAN,22
NEVADA,BURMA,22
ALABAMA,SOMALIA,22
VIRGINIA,AFGHANISTAN,21
NORTH CAROLINA,CHAD,21
ARIZONA,ETHIOPIA,21
CALIFORNIA,PAKISTAN,21
ILLINOIS,PAKISTAN,21
OREGON,AFGHANISTAN,20
WASHINGTON,COLOMBIA,20
NEW MEXICO,CUBA,20
MINNESOTA,DEM. REP. CONGO,20
RHODE ISLAND,ERITREA,20
CONNECTICUT,ETHIOPIA,20
KENTUCKY,SUDAN,20
NEW JERSEY,SUDAN,20
PENNSYLVANIA,UKRAINE,20
IDAHO,ERITREA,19
MISSOURI,ETHIOPIA,19
TENNESSEE,ETHIOPIA,19
NEW YORK,NEPAL,19
KENTUCKY,PALESTINE,19
WISCONSIN,SUDAN,19
NEVADA,BHUTAN,18
IOWA,DEM. REP. CONGO,18
MAINE,DEM. REP. CONGO,18
INDIANA,ERITREA,18
ALASKA,IRAQ,18
TEXAS,PAKISTAN,18
ALASKA,SUDAN,18
CONNECTICUT,SUDAN,18
INDIANA,SUDAN,18
IDAHO,AFGHANISTAN,17
WASHINGTON,AFGHANISTAN,17
MASSACHUSETTS,CUBA,17
UTAH,CUBA,17
UTAH,IRAN,17
MASSACHUSETTS,MOLDOVA,17
NEW HAMPSHIRE,SOMALIA,17
CALIFORNIA,SRI LANKA,17
WASHINGTON,VIETNAM,17
MARYLAND,COLOMBIA,16
NEVADA,COLOMBIA,16
ILLINOIS,ETHIOPIA,16
OHIO,NEPAL,16
NEW JERSEY,PAKISTAN,16
NEW HAMPSHIRE,SUDAN,16
NEVADA,AZERBAIJAN,15
NEW YORK,CHINA,15
WISCONSIN,CUBA,15
VERMONT,DEM. REP. CONGO,15
WASHINGTON,PAKISTAN,15
ALABAMA,SUDAN,15
ARIZONA,SYRIA,15
RHODE ISLAND,COLOMBIA,14
VIRGINIA,COLOMBIA,14
WEST VIRGINIA,ERITREA,14
INDIANA,ETHIOPIA,14
TEXAS,NEPAL,14
NEW YORK,PALESTINE,14
RHODE ISLAND,BHUTAN,13
CALIFORNIA,CHINA,13
MICHIGAN,ETHIOPIA,13
WASHINGTON,GEORGIA,13
KENTUCKY,PAKISTAN,13
VIRGINIA,REPUBLIC OF SOUTH SUDAN,13
KANSAS,SUDAN,13
NEBRASKA,SUDAN,13
INDIANA,AFGHANISTAN,12
CALIFORNIA,BELARUS,12
CALIFORNIA,CAMBODIA,12
OREGON,CUBA,12
COLORADO,IRAN,12
NEW MEXICO,IRAN,12
PENNSYLVANIA,REPUBLIC OF SOUTH SUDAN,12
PENNSYLVANIA,RUSSIA,12
TEXAS,RWANDA,12
NEW YORK,UZBEKISTAN,12
MICHIGAN,AFGHANISTAN,11
ARIZONA,BURUNDI,11
TENNESSEE,COLOMBIA,11
OHIO,CUBA,11
MINNESOTA,ERITREA,11
OREGON,ERITREA,11
SOUTH CAROLINA,ERITREA,11
OREGON,ETHIOPIA,11
MICHIGAN,IRAN,11
MASSACHUSETTS,KAZAKHSTAN,11
NORTH CAROLINA,MOLDOVA,11
ILLINOIS,PALESTINE,11
MASSACHUSETTS,RUSSIA,11
WASHINGTON,RUSSIA,11
SOUTH CAROLINA,SOMALIA,11
NORTH CAROLINA,SYRIA,11
ILLINOIS,UKRAINE,11
OHIO,UKRAINE,11
SOUTH DAKOTA,UKRAINE,11
NORTH CAROLINA,VIETNAM,11
TEXAS,VIETNAM,11
COLORADO,AFGHANISTAN,10
CONNECTICUT,AFGHANISTAN,10
FLORIDA,AFGHANISTAN,10
MASSACHUSETTS,AFGHANISTAN,10
MINNESOTA,BELARUS,10
WASHINGTON,BELARUS,10
ALABAMA,BURMA,10
ILLINOIS,CONGO,10
ALABAMA,CUBA,10
INDIANA,CUBA,10
TENNESSEE,EGYPT,10
NEBRASKA,ETHIOPIA,10
INDIANA,IRAN,10
TENNESSEE,IRAN,10
WEST VIRGINIA,IRAQ,10
OREGON,MOLDOVA,10
MICHIGAN,PALESTINE,10
ARIZONA,REPUBLIC OF SOUTH SUDAN,10
OREGON,SUDAN,10
VERMONT,SUDAN,10
TEXAS,SYRIA,10
COLORADO,UKRAINE,10
LOUISIANA,AFGHANISTAN,9
CALIFORNIA,ARMENIA,9
ALASKA,BHUTAN,9
CONNECTICUT,BHUTAN,9
GEORGIA,COLOMBIA,9
TENNESSEE,ERITREA,9
MAINE,IRAN,9
NEVADA,IVORY COAST,9
MARYLAND,PAKISTAN,9
NORTH CAROLINA,PAKISTAN,9
MINNESOTA,PALESTINE,9
NEW JERSEY,RUSSIA,9
NEVADA,SUDAN,9
GEORGIA,UKRAINE,9
SOUTH CAROLINA,UKRAINE,9
MAINE,AFGHANISTAN,8
UTAH,BURUNDI,8
NORTH DAKOTA,CAMBODIA,8
LOUISIANA,COLOMBIA,8
NORTH CAROLINA,COLOMBIA,8
TEXAS,COLOMBIA,8
FLORIDA,CONGO,8
OKLAHOMA,DEM. REP. CONGO,8
OHIO,IRAN,8
TEXAS,JORDAN,8
GEORGIA,LIBERIA,8
COLORADO,MOLDOVA,8
GEORGIA,MOLDOVA,8
TENNESSEE,NEPAL,8
VIRGINIA,PALESTINE,8
OREGON,RUSSIA,8
COLORADO,RWANDA,8
GEORGIA,SRI LANKA,8
IOWA,SUDAN,8
MAINE,SUDAN,8
NEW JERSEY,SYRIA,8
OREGON,UZBEKISTAN,8
MARYLAND,AFGHANISTAN,7
PENNSYLVANIA,AFGHANISTAN,7
KENTUCKY,BURUNDI,7
RHODE ISLAND,BURUNDI,7
WASHINGTON,BURUNDI,7
COLORADO,CHINA,7
ARIZONA,COLOMBIA,7
DISTRICT OF COLUMBIA,DEM. REP. CONGO,7
DISTRICT OF COLUMBIA,ERITREA,7
MASSACHUSETTS,ETHIOPIA,7
KANSAS,IRAN,7
KENTUCKY,IRAN,7
MASSACHUSETTS,IRAN,7
MINNESOTA,MOLDOVA,7
FLORIDA,RUSSIA,7
NEW YORK,RWANDA,7
MINNESOTA,SUDAN,7
NORTH DAKOTA,SUDAN,7
SOUTH DAKOTA,SUDAN,7
ILLINOIS,SYRIA,7
OHIO,TOGO,7
KENTUCKY,UKRAINE,7
MINNESOTA,UKRAINE,7
ARIZONA,UZBEKISTAN,7
CALIFORNIA,VIETNAM,7
MASSACHUSETTS,BELARUS,6
CALIFORNIA,BURUNDI,6
COLORADO,CENTRAL AFRICAN REPUBLIC,6
NORTH CAROLINA,CENTRAL AFRICAN REPUBLIC,6
NEW JERSEY,COLOMBIA,6
ALASKA,CUBA,6
CONNECTICUT,CUBA,6
MINNESOTA,CUBA,6
NEBRASKA,CUBA,6
ALASKA,ERITREA,6
NORTH DAKOTA,ERITREA,6
IDAHO,ETHIOPIA,6
VIRGINIA,ETHIOPIA,6
SOUTH DAKOTA,GUINEA,6
PENNSYLVANIA,INDIA,6
MISSOURI,IRAN,6
NEBRASKA,IVORY COAST,6
FLORIDA,JORDAN,6
WASHINGTON,KAZAKHSTAN,6
KANSAS,PAKISTAN,6
PENNSYLVANIA,PAKISTAN,6
FLORIDA,PALESTINE,6
TENNESSEE,PALESTINE,6
TENNESSEE,REPUBLIC OF SOUTH SUDAN,6
ILLINOIS,RUSSIA,6
MICHIGAN,SRI LANKA,6
TEXAS,SRI LANKA,6
FLORIDA,SYRIA,6
GEORGIA,SYRIA,6
MICHIGAN,SYRIA,6
VIRGINIA,SYRIA,6
MASSACHUSETTS,TOGO,6
PENNSYLVANIA,UZBEKISTAN,6
NORTH DAKOTA,AFGHANISTAN,5
COLORADO,BURUNDI,5
TEXAS,BURUNDI,5
NEW YORK,CAMBODIA,5
VIRGINIA,CAMBODIA,5
OHIO,CENTRAL AFRICAN REPUBLIC,5
DISTRICT OF COLUMBIA,CHINA,5
NEVADA,CHINA,5
CALIFORNIA,COLOMBIA,5
WISCONSIN,COLOMBIA,5
LOUISIANA,ERITREA,5
MISSISSIPPI,ERITREA,5
WISCONSIN,ERITREA,5
KANSAS,ETHIOPIA,5
LOUISIANA,ETHIOPIA,5
NEW JERSEY,IRAN,5
DISTRICT OF COLUMBIA,IRAQ,5
MINNESOTA,KENYA,5
ILLINOIS,KUWAIT,5
NEW YORK,KUWAIT,5
MASSACHUSETTS,KYRGYZSTAN,5
TEXAS,KYRGYZSTAN,5
GEORGIA,NEPAL,5
NORTH DAKOTA,NEPAL,5
IOWA,PAKISTAN,5
UTAH,PAKISTAN,5
ARIZONA,PALESTINE,5
ILLINOIS,REPUBLIC OF SOUTH SUDAN,5
COLORADO,RUSSIA,5
GEORGIA,RUSSIA,5
MINNESOTA,RUSSIA,5
ARIZONA,RWANDA,5
KENTUCKY,RWANDA,5
WASHINGTON,RWANDA,5
PENNSYLVANIA,SIERRA LEONE,5
MINNESOTA,SRI LANKA,5
NORTH CAROLINA,TOGO,5
NEBRASKA,UKRAINE,5
FLORIDA,VIETNAM,5
ILLINOIS,VIETNAM,5
OHIO,VIETNAM,5
NEW JERSEY,BHUTAN,4
NEW MEXICO,BHUTAN,4
ALASKA,BURMA,4
NORTH DAKOTA,BURMA,4
FLORIDA,BURUNDI,4
INDIANA,BURUNDI,4
MASSACHUSETTS,CAMBODIA,4
MINNESOTA,CAMBODIA,4
IDAHO,COLOMBIA,4
PENNSYLVANIA,COLOMBIA,4
UTAH,COLOMBIA,4
IOWA,CUBA,4
ALABAMA,DEM. REP. CONGO,4
CALIFORNIA,EGYPT,4
ILLINOIS,EGYPT,4
KENTUCKY,ETHIOPIA,4
WISCONSIN,ETHIOPIA,4
FLORIDA,HAITI,4
NEW YORK,INDIA,4
CONNECTICUT,IRAN,4
ARKANSAS,IRAQ,4
FLORIDA,IVORY COAST,4
ILLINOIS,IVORY COAST,4
GEORGIA,KENYA,4
SOUTH CAROLINA,KENYA,4
MARYLAND,NORTH KOREA,4
TEXAS,LIBERIA,4
MARYLAND,MAURITANIA,4
COLORADO,NEPAL,4
MICHIGAN,NEPAL,4
ARIZONA,PAKISTAN,4
IDAHO,PAKISTAN,4
MASSACHUSETTS,PAKISTAN,4
MISSOURI,PAKISTAN,4
VIRGINIA,PAKISTAN,4
MASSACHUSETTS,PALESTINE,4
WASHINGTON,PALESTINE,4
NEVADA,RWANDA,4
VIRGINIA,RWANDA,4
CONNECTICUT,SRI LANKA,4
UTAH,SRI LANKA,4
LOUISIANA,SUDAN,4
OHIO,SYRIA,4
UTAH,TOGO,4
FLORIDA,UKRAINE,4
WASHINGTON,UZBEKISTAN,4
MASSACHUSETTS,VIETNAM,4
VIRGINIA,VIETNAM,4
DISTRICT OF COLUMBIA,AFGHANISTAN,3
KENTUCKY,AFGHANISTAN,3
TENNESSEE,AFGHANISTAN,3
OREGON,BELARUS,3
ARKANSAS,BURMA,3
WEST VIRGINIA,BURMA,3
NEW HAMPSHIRE,BURUNDI,3
NEW YORK,BURUNDI,3
NORTH CAROLINA,BURUNDI,3
OHIO,BURUNDI,3
MARYLAND,CAMBODIA,3
IOWA,CENTRAL AFRICAN REPUBLIC,3
NEW JERSEY,CHINA,3
NORTH CAROLINA,CHINA,3
MASSACHUSETTS,COLOMBIA,3
NEW MEXICO,COLOMBIA,3
MINNESOTA,CONGO,3
IDAHO,CUBA,3
ALABAMA,EGYPT,3
NEW JERSEY,ERITREA,3
OKLAHOMA,ERITREA,3
ALABAMA,ETHIOPIA,3
MASSACHUSETTS,INDIA,3
MINNESOTA,IRAN,3
NORTH DAKOTA,IRAN,3
OKLAHOMA,IRAN,3
PENNSYLVANIA,IRAN,3
KENTUCKY,IVORY COAST,3
TEXAS,IVORY COAST,3
CALIFORNIA,JORDAN,3
MASSACHUSETTS,JORDAN,3
NEW YORK,JORDAN,3
PENNSYLVANIA,KENYA,3
WASHINGTON,KENYA,3
CALIFORNIA,LEBANON,3
MICHIGAN,LEBANON,3
TEXAS,LEBANON,3
NEW JERSEY,LIBERIA,3
NEW JERSEY,MOLDOVA,3
ARIZONA,NEPAL,3
IDAHO,NEPAL,3
ILLINOIS,NEPAL,3
IOWA,NEPAL,3
KENTUCKY,NEPAL,3
MARYLAND,NEPAL,3
MASSACHUSETTS,NEPAL,3
NEBRASKA,NEPAL,3
SOUTH DAKOTA,NEPAL,3
VERMONT,NEPAL,3
WISCONSIN,NEPAL,3
FLORIDA,PAKISTAN,3
NEW YORK,PAKISTAN,3
RHODE ISLAND,PAKISTAN,3
OHIO,PALESTINE,3
PENNSYLVANIA,SINGAPORE,3
MINNESOTA,SOUTH AFRICA,3
FLORIDA,SRI LANKA,3
IDAHO,SYRIA,3
VIRGINIA,UKRAINE,3
GEORGIA,UZBEKISTAN,3
PENNSYLVANIA,VIETNAM,3
WISCONSIN,VIETNAM,3
NEW YORK,YEMEN,3
GEORGIA,ALGERIA,2
COLORADO,BANGLADESH,2
PENNSYLVANIA,BELARUS,2
HAWAII,BURMA,2
NEW MEXICO,BURUNDI,2
VIRGINIA,BURUNDI,2
TEXAS,CAMBODIA,2
ARIZONA,CAMEROON,2
CALIFORNIA,CAMEROON,2
GEORGIA,CENTRAL AFRICAN REPUBLIC,2
KENTUCKY,CENTRAL AFRICAN REPUBLIC,2
IDAHO,CONGO,2
KENTUCKY,CONGO,2
MAINE,CUBA,2
PUERTO RICO,CUBA,2
FLORIDA,ECUADOR,2
PENNSYLVANIA,EGYPT,2
SOUTH DAKOTA,ETHIOPIA,2
UTAH,ETHIOPIA,2
NORTH CAROLINA,GUINEA,2
COLORADO,INDIA,2
GEORGIA,INDIA,2
NEBRASKA,INDIA,2
NORTH CAROLINA,INDIA,2
COLORADO,INDONESIA,2
GEORGIA,INDONESIA,2
ILLINOIS,INDONESIA,2
NEW YORK,INDONESIA,2
TEXAS,INDONESIA,2
UTAH,INDONESIA,2
ALABAMA,IRAN,2
RHODE ISLAND,IRAN,2
CONNECTICUT,IVORY COAST,2
GEORGIA,IVORY COAST,2
MICHIGAN,IVORY COAST,2
NEW YORK,IVORY COAST,2
VIRGINIA,IVORY COAST,2
ILLINOIS,JORDAN,2
MARYLAND,JORDAN,2
MISSOURI,JORDAN,2
WISCONSIN,JORDAN,2
OHIO,KAZAKHSTAN,2
MICHIGAN,KENYA,2
VIRGINIA,KENYA,2
ILLINOIS,NORTH KOREA,2
NEW YORK,KYRGYZSTAN,2
IDAHO,LAOS,2
ARIZONA,LIBERIA,2
IOWA,LIBERIA,2
MINNESOTA,LIBERIA,2
MISSOURI,LIBERIA,2
PENNSYLVANIA,LIBERIA,2
OHIO,MALI,2
ILLINOIS,MOLDOVA,2
TENNESSEE,MOLDOVA,2
CONNECTICUT,MOROCCO,2
KANSAS,NEPAL,2
MISSOURI,NEPAL,2
UTAH,NEPAL,2
VIRGINIA,NEPAL,2
WASHINGTON,NEPAL,2
GEORGIA,NIGERIA,2
NEVADA,PHILIPPINES,2
MARYLAND,REPUBLIC OF SOUTH SUDAN,2
WASHINGTON,REPUBLIC OF SOUTH SUDAN,2
ARIZONA,RUSSIA,2
CONNECTICUT,RUSSIA,2
OHIO,RUSSIA,2
MASSACHUSETTS,RWANDA,2
TENNESSEE,RWANDA,2
UTAH,RWANDA,2
NEW HAMPSHIRE,SIERRA LEONE,2
COLORADO,SRI LANKA,2
MAINE,SYRIA,2
MARYLAND,SYRIA,2
MASSACHUSETTS,SYRIA,2
NEW YORK,SYRIA,2
WASHINGTON,SYRIA,2
WISCONSIN,SYRIA,2
ILLINOIS,THAILAND,2
OHIO,THAILAND,2
TEXAS,THAILAND,2
GEORGIA,TOGO,2
IOWA,UGANDA,2
MARYLAND,UGANDA,2
GEORGIA,VIETNAM,2
MARYLAND,VIETNAM,2
CONNECTICUT,ZIMBABWE,2
ALABAMA,AFGHANISTAN,1
NEW JERSEY,AFGHANISTAN,1
VIRGINIA,BAHRAIN,1
FLORIDA,BHUTAN,1
CALIFORNIA,BRAZIL,1
DISTRICT OF COLUMBIA,BURMA,1
MAINE,BURMA,1
MISSISSIPPI,BURMA,1
NEW MEXICO,BURMA,1
CONNECTICUT,BURUNDI,1
GEORGIA,BURUNDI,1
KANSAS,BURUNDI,1
MINNESOTA,BURUNDI,1
INDIANA,CAMBODIA,1
UTAH,CAMBODIA,1
KENTUCKY,CAMEROON,1
ARIZONA,CENTRAL AFRICAN REPUBLIC,1
GEORGIA,CHAD,1
WASHINGTON,CHAD,1
GEORGIA,CHINA,1
MASSACHUSETTS,CHINA,1
OHIO,CHINA,1
OREGON,CHINA,1
TEXAS,CHINA,1
UTAH,CHINA,1
COLORADO,CONGO,1
MARYLAND,CONGO,1
NORTH CAROLINA,CONGO,1
TEXAS,CONGO,1
MISSISSIPPI,DEM. REP. CONGO,1
WASHINGTON,DJIBOUTI,1
CONNECTICUT,ECUADOR,1
MARYLAND,ECUADOR,1
MASSACHUSETTS,ECUADOR,1
NEVADA,ECUADOR,1
NEW JERSEY,ECUADOR,1
PENNSYLVANIA,ECUADOR,1
TENNESSEE,ECUADOR,1
MASSACHUSETTS,EGYPT,1
NEW JERSEY,EGYPT,1
NEW YORK,EGYPT,1
WASHINGTON,EGYPT,1
ALABAMA,ERITREA,1
MAINE,ERITREA,1
VERMONT,ERITREA,1
ALASKA,ETHIOPIA,1
IOWA,ETHIOPIA,1
NEW JERSEY,ETHIOPIA,1
NORTH DAKOTA,ETHIOPIA,1
KENTUCKY,GABON,1
MICHIGAN,GABON,1
ILLINOIS,GHANA,1
KENTUCKY,GHANA,1
INDIANA,GUINEA,1
NEW HAMPSHIRE,INDIA,1
NEW MEXICO,INDIA,1
NORTH DAKOTA,INDIA,1
OHIO,INDIA,1
VIRGINIA,INDIA,1
INDIANA,INDONESIA,1
KANSAS,INDONESIA,1
NEW HAMPSHIRE,INDONESIA,1
WASHINGTON,INDONESIA,1
WISCONSIN,INDONESIA,1
ALASKA,IRAN,1
CALIFORNIA,IVORY COAST,1
DISTRICT OF COLUMBIA,IVORY COAST,1
MASSACHUSETTS,IVORY COAST,1
INDIANA,JORDAN,1
KANSAS,JORDAN,1
